Source,Target,weight
7434,7404,120.0
7434,7406,120.0
7434,7408,240.0
7434,7411,120.0
7434,7413,137.0
7434,7419,124.0
7434,7420,120.0
7434,7421,893.0
7434,7424,120.0
7434,7425,120.0
7434,7428,120.0
7434,7429,120.0
7434,7430,120.0
7434,7431,120.0
7434,7432,120.0
7434,7433,120.0
7435,7404,120.0
7435,7406,120.0
7435,7408,120.0
7435,7411,124.0
7435,7413,124.0
7435,7419,124.0
7435,7431,120.0
7435,7432,120.0
7435,7437,120.0
7436,7180,200.0
7436,7280,270.0
7436,7292,200.0
7436,7355,124.0
7436,7362,120.0
7436,7403,137.0
7436,7404,120.0
7436,7406,120.0
7436,7408,120.0
7436,7410,240.0
7436,7411,124.0
7436,7413,137.0
7436,7415,120.0
7436,7418,244.0
7436,7419,272.0
7436,7420,120.0
7436,7421,516.75
7436,7425,120.0
7436,7430,120.0
7436,7431,120.0
7436,7432,120.0
7436,8022,623.0
7437,7180,124.0
7437,7351,242.0
7437,7352,160.0
7437,7355,124.0
7437,7358,156.0
7437,7360,124.0
7437,7361,124.0
7437,7363,124.0
7437,7370,160.0
7437,7371,160.0
7437,7403,137.0
7437,7404,120.0
7437,7406,120.0
7437,7408,120.0
7437,7410,240.0
7437,7411,137.0
7437,7413,137.0
7437,7415,120.0
7437,7418,120.0
7437,7419,272.0
7437,7420,120.0
7437,7421,975.5833
7437,7422,124.0
7437,7430,120.0
7437,7431,120.0
7437,7432,120.0
7437,7433,120.0
7438,7436,120.0
7439,7405,160.0
7440,7436,120.0
7442,7434,120.0
7442,7435,120.0
7442,7436,120.0
7442,7437,120.0
7442,7440,120.0
7443,7436,80.0
7444,7408,120.0
7444,7417,120.0
7444,7418,120.0
7444,7424,120.0
7444,7434,240.0
7444,7437,120.0
7445,7355,160.0
7445,7361,124.0
7445,7362,120.0
7445,7363,124.0
7445,7364,160.0
7445,7365,160.0
7445,7367,124.0
7445,7369,124.0
7445,7370,160.0
7445,7371,160.0
7445,7376,160.0
7445,7382,160.0
7445,7400,160.0
7445,7403,137.0
7445,7405,160.0
7445,7417,120.0
7445,7418,120.0
7445,7436,137.0
7445,7437,137.0
7445,7441,120.0
7445,7746,160.0
7446,7362,120.0
7446,7404,120.0
7446,7408,120.0
7446,7409,40.0
7446,7417,120.0
7446,7418,120.0
7446,7436,120.0
7446,7437,120.0
7447,8396,150.0
7448,7180,221.5
7448,7256,720.0
7448,7264,560.0
7448,7280,790.0
7448,7292,879.5
7448,7323,270.0
7448,7337,270.0
7448,7343,116.0
7448,7351,120.0
7448,7355,137.0
7448,7358,520.3333
7448,7360,608.6666
7448,7361,240.0
7448,7362,240.0
7448,7363,248.0
7448,7364,120.0
7448,7365,120.0
7448,7367,120.0
7448,7368,252.0
7448,7369,240.0
7448,7370,240.0
7448,7382,240.0
7448,7384,581.0
7448,7403,124.0
7448,7406,244.0
7448,7408,382.3333
7448,7410,240.0
7448,7411,377.0
7448,7412,137.0
7448,7413,137.0
7448,7415,120.0
7448,7417,120.0
7448,7418,120.0
7448,7419,272.0
7448,7420,480.0
7448,7421,711.1666
7448,7422,124.0
7448,7424,240.0
7448,7425,368.0
7448,7428,248.0
7448,7429,240.0
7448,7430,120.0
7448,7434,122.666664
7448,7435,120.0
7448,7436,376.0
7448,7437,261.0
7448,7444,240.0
7448,7445,137.0
7448,7446,120.0
7448,7624,770.0
7448,7673,160.0
7448,7706,780.0
7448,7713,780.0
7448,7778,160.0
7448,7814,128.0
7448,7818,128.0
7448,7829,160.0
7448,7836,160.0
7448,7847,160.0
7448,7931,160.0
7448,7962,215.0
7448,8048,215.0
7448,8050,215.0
7448,8413,673.0
7448,8524,400.0
7448,9276,215.0
7449,7816,160.0
7449,7929,160.0
7450,7368,128.0
7450,7445,160.0
7450,7451,160.0
7450,7939,160.0
7451,7449,160.0
7451,7645,160.0
7452,7363,120.0
7452,7420,480.0
7452,7421,248.0
7452,7450,160.0
7452,7832,160.0
7453,7351,150.0
7453,7363,150.0
7453,7406,120.0
7453,7408,120.0
7453,7411,120.0
7453,7412,160.0
7453,7418,120.0
7453,7419,160.0
7453,7421,150.0
7453,7428,120.0
7453,7430,160.0
7453,7436,120.0
7453,7437,120.0
7453,7445,160.0
7453,7448,150.0
7454,7292,635.0
7454,7351,150.0
7454,7352,160.0
7454,7355,310.0
7454,7358,350.0
7454,7360,150.0
7454,7361,124.0
7454,7362,270.0
7454,7363,287.0
7454,7367,150.0
7454,7369,150.0
7454,7370,160.0
7454,7371,160.0
7454,7384,160.0
7454,7406,310.0
7454,7408,310.0
7454,7410,120.0
7454,7411,280.0
7454,7412,160.0
7454,7413,160.0
7454,7414,120.0
7454,7415,120.0
7454,7418,120.0
7454,7419,310.0
7454,7420,240.0
7454,7421,398.0
7454,7422,120.0
7454,7423,120.0
7454,7425,160.0
7454,7427,120.0
7454,7428,280.0
7454,7430,160.0
7454,7434,120.0
7454,7436,120.0
7454,7437,280.0
7454,7439,160.0
7454,7445,160.0
7454,7446,120.0
7454,7448,150.0
7454,7450,160.0
7455,7406,120.0
7455,7408,120.0
7455,7411,160.0
7455,7412,160.0
7455,7413,160.0
7455,7419,124.0
7455,7430,160.0
7455,7445,160.0
7455,7450,160.0
7456,7371,160.0
7456,7413,160.0
7456,7445,160.0
7456,7454,120.0
